,Price,ram_in_gb,ddr_version,gen_type,size_in_inches,SSD,HDD,processor_name_name_encoded,OS_name_encoded,disk_drive_name_encoded,touchscreen_name_encoded,company_name_encoded,graphic_card_name_encoded
86,10918180.0,16,4,10,16.0,512,0,1,3,3,0,9,0
87,12192180.0,16,4,10,14.0,512,0,1,3,3,0,9,1
88,11646180.0,16,4,10,15.6,512,0,1,3,3,0,2,0
89,20018180.0,16,4,10,15.6,512,0,1,3,3,0,9,0
90,12374180.0,8,4,10,15.6,256,0,1,3,3,0,9,1
91,17652180.0,16,5,10,15.6,512,0,1,3,3,0,9,1
92,11445980.0,8,4,10,15.6,512,0,1,3,3,0,6,1
93,12010180.0,16,4,10,15.6,512,0,1,3,3,0,2,1
94,10918180.0,16,4,10,15.6,512,0,1,3,3,0,6,0
95,14376180.0,8,5,10,14.0,512,0,1,3,3,0,9,1
96,10736180.0,16,4,10,15.6,1000,0,1,3,3,0,6,0
97,12738180.0,16,4,10,15.6,512,0,1,3,3,0,9,1
98,6279000.0,8,4,0,15.6,512,0,0,3,3,0,0,0
99,3092180.0,4,4,10,15.6,512,0,1,3,3,0,12,0
100,11828180.0,16,4,10,11.6,512,0,1,3,3,0,9,1
101,7278180.0,8,4,10,15.6,512,0,1,3,3,0,9,0
102,17288180.0,16,4,10,14.0,512,0,1,3,3,0,9,1
103,10008180.0,8,4,10,15.6,512,0,1,3,3,0,6,0
104,7278180.0,8,4,0,15.6,512,0,0,3,3,0,8,0
105,15469818.0,16,4,0,15.5,256,0,0,3,3,0,6,0
106,7096180.0,8,4,10,14.0,256,0,1,3,3,0,8,0
107,9553180.0,8,4,0,15.6,512,0,0,3,3,0,6,0
108,6914180.0,8,4,10,15.6,512,0,1,3,3,0,0,0
109,4821180.0,8,4,0,15.6,512,0,0,3,3,0,7,0
110,19108180.0,16,4,10,15.6,256,0,1,3,3,0,8,1
111,10918180.0,16,4,10,15.5,512,0,1,3,3,0,6,0
112,8370180.0,8,4,10,14.0,512,0,1,3,3,0,13,0
113,13648180.0,16,4,10,14.0,512,0,1,3,3,0,2,0
114,5094180.0,8,4,10,14.0,512,0,1,3,3,0,7,0
115,3456180.0,4,4,10,15.6,512,0,1,3,3,0,12,0
116,14558180.0,8,4,0,11.6,512,0,0,2,3,0,1,0
117,7278180.0,8,4,0,13.3,256,0,0,3,3,0,8,0
118,7824180.0,8,4,0,0.0,2000,0,0,3,3,0,9,0
119,8003450.0,8,4,10,14.0,512,0,1,3,3,0,8,0
120,5094180.0,8,4,10,15.6,1000,0,1,3,3,0,7,0
121,7824180.0,8,4,0,15.6,512,0,0,3,3,0,9,0
122,8370180.0,8,4,0,14.0,1000,0,0,3,3,0,2,0
123,3092180.0,4,4,10,14.0,512,0,1,3,3,0,12,0
124,10736180.0,16,4,10,11.6,512,0,1,3,3,0,6,1
125,6004180.0,4,4,10,15.6,512,0,1,3,3,0,14,0
126,10645180.0,8,4,0,14.0,512,0,0,3,3,0,6,1
127,10008180.0,8,4,10,16.1,512,0,1,3,3,0,6,0
128,10554180.0,8,4,0,15.6,512,0,0,3,3,0,0,1
129,4366180.0,8,4,10,15.6,512,0,1,3,3,0,7,0
130,54598180.0,32,5,0,15.6,512,0,0,3,3,0,9,1
131,9553180.0,8,4,0,17.3,1000,0,0,3,3,0,6,0
132,14285180.0,16,5,10,15.6,1000,0,1,3,3,0,6,0
133,10918180.0,16,4,10,13.3,512,0,1,3,3,0,2,0
134,38400180.0,16,5,10,16.0,512,0,1,3,3,0,2,0
135,10918180.0,16,4,10,17.3,256,0,1,3,3,0,6,0
136,22748180.0,16,5,10,14.0,256,1000,1,3,0,0,2,0
137,10008180.0,8,4,10,16.0,512,0,1,3,3,0,6,1
138,7278180.0,2,3,10,15.6,512,0,1,3,3,0,0,0
139,3456180.0,8,5,0,15.6,1000,0,1,3,3,0,12,0
140,10171980.0,4,4,10,11.6,256,0,1,3,3,0,4,0
141,13466180.0,8,4,0,15.6,512,0,0,3,3,0,6,0
142,7278180.0,16,4,0,14.0,512,0,0,3,3,1,8,0
143,8003450.0,8,4,10,15.6,512,0,1,3,3,0,8,0
